Country.Name,E2010,E2011,E2012,E2013,E2014,E2015,E2016,E2017
Italy,2.08E+12,2.16E+12,2.16E+12,2.18E+12,2.19E+12,2.24E+12,2.37E+12,2.48E+12
Jamaica,22074283001,22924301243,23220285437,23746822772,24362584365,24845904794,25464389345,26202330526
Jordan,66763480331,69921208378,73151473819,76540819363,80403682025,83207047280,85802416871,89283185655
Japan,4.48E+12,4.57E+12,4.75E+12,4.97E+12,4.99E+12,5.14E+12,5.22E+12,5.32E+12
Kazakhstan,3.21E+11,3.52E+11,3.76E+11,4.06E+11,4.31E+11,4.41E+11,4.50E+11,4.78E+11
Kenya,1.00E+11,1.09E+11,1.16E+11,1.25E+11,1.34E+11,1.43E+11,1.53E+11,1.64E+11
Kyrgyz Republic,14889542544,16105958461,16382016733,18486483623,19589676909,20571324627,21690517215,23141637562
Cambodia,35361241662,38652011936,42274267237,46180698759,50415280452,54539587495,59012585012,64352721029
Kiribati,176628828.1,183193721.9,195507202.4,207322984,209771180.4,234075309.1,248773766.3,254335004.9
St. Kitts and Nevis,1179929005,1226065008,1241385936,1332215824,1439619514,1486248118,1537321198,1584879613
"Korea, Rep.",1.50E+12,1.56E+12,1.61E+12,1.64E+12,1.70E+12,1.82E+12,1.90E+12,2.00E+12
Kuwait,2.21E+11,2.47E+11,2.69E+11,2.76E+11,2.83E+11,2.88E+11,2.99E+11,2.95E+11
Latin America & Caribbean (excluding high income),7.30E+12,7.86E+12,8.23E+12,8.59E+12,8.87E+12,8.96E+12,9.06E+12,9.42E+12
Lao PDR,25812470914,28469987708,31344851733,34454910108,37779073255,40958813258,44314739460,48250969277
Lebanon,69893591748,72008412770,75385729004,78717808903,81718394488,82935026543,85188045150,87286452031
Liberia,4198563170,4637773844,5104564577,5646245256,5793403351,5855354627,5824698888,6081936621
Libya,1.79E+11,69322560014,1.58E+11,1.39E+11,1.07E+11,98864985069,97152136717,1.25E+11
St. Lucia,1989532461,2115166407,2148968974,2143039743,2183686458,2213051713,2324287360,2455433714
Latin America & Caribbean,7.93E+12,8.55E+12,8.95E+12,9.35E+12,9.65E+12,9.76E+12,9.86E+12,1.03E+13
Least developed countries: UN classification,1.79E+12,1.90E+12,2.03E+12,2.19E+12,2.36E+12,2.48E+12,2.61E+12,2.80E+12
Low income,9.95E+11,1.05E+12,1.10E+12,1.19E+12,1.29E+12,1.33E+12,1.39E+12,1.48E+12
Sri Lanka,1.69E+11,1.87E+11,2.08E+11,2.19E+11,2.34E+11,2.48E+11,2.62E+11,2.76E+11
Lower middle income,1.30E+13,1.39E+13,1.49E+13,1.60E+13,1.73E+13,1.85E+13,1.98E+13,2.13E+13
Low & middle income,4.40E+13,4.79E+13,5.14E+13,5.50E+13,5.86E+13,6.16E+13,6.53E+13,7.00E+13
Lesotho,4728403002,5160314265,5574736768,5777157498,6070213186,6304862521,6576430280,6548218774
Late-demographic dividend,2.52E+13,2.79E+13,3.01E+13,3.22E+13,3.43E+13,3.59E+13,3.77E+13,4.05E+13
Lithuania,62227058440,69205473269,73672519083,78854078065,82617257229,83982033229,86907166787,94052437740
Luxembourg,43402064573,47690524462,48646428611,51940075107,56353766041,58544150280,61159237905,64189940522
Latvia,36830352456,40727375359,43234798732,45639805375,47467829945,48891483484,50634264345,55086300806
"Macao SAR, China",51643284625,64148218365,71417756201,80810287676,81350166703,64465073326,64610842539,72227957950
Morocco,2.08E+11,2.23E+11,2.34E+11,2.49E+11,2.61E+11,2.75E+11,2.81E+11,2.99E+11
Moldova,16519042684,17845291549,18080279180,20061424596,21462936654,21619077258,22819071050,24343552149
Madagascar,28709791863,29735787033,31223593389,32488054226,34200329916,35643338839,37539288199,39900329809
Maldives,4286595636,4751030618,4964043673,5418937041,5926158536,6162301439,6683781321,7281568559
Middle East & North Africa,6.39E+12,6.73E+12,7.11E+12,7.42E+12,7.77E+12,8.04E+12,8.56E+12,8.87E+12
Mexico,1.74E+12,1.91E+12,2.01E+12,2.06E+12,2.17E+12,2.23E+12,2.32E+12,2.42E+12
Marshall Islands,178662626.4,184595346.9,194641085.6,203721456.1,206004415.7,207448294,213723422.7,225626056.3
Middle income,4.30E+13,4.69E+13,5.03E+13,5.38E+13,5.74E+13,6.03E+13,6.39E+13,6.86E+13
North Macedonia,23345237910,24064167064,24558656811,26269714221,27776001083,28759659628,30822819449,31852356726
Mali,27642895641,29134739169,29445208708,30652146180,33431836099,35804053416,38294923472,41130057354
Malta,11527097116,11904210433,12367220458,13240178515,14501339328,16095520213,17457840947,19444751558
Myanmar,1.83E+11,1.97E+11,2.16E+11,2.38E+11,2.62E+11,2.83E+11,3.03E+11,3.29E+11
Middle East & North Africa (excluding high income),3.88E+12,3.94E+12,4.12E+12,4.26E+12,4.44E+12,4.54E+12,4.93E+12,5.18E+12
Montenegro,8445898900,8974067443,8603938446,9237489066,9557907981,10164369481,11118359283,12046041760
Mongolia,20482866404,24526362242,28076294276,31896989569,35063179382,36281493744,37106787271,39816777184
